clusterID,estimated_snowballing_pvalue,max_norm_cell_type_specificity,max_norm_disease_specificity,max_plof,mean_plof,median_plof,num_cell_type_string,num_disease_string,num_of_diseases,num_sig_go_enrichment_terms,std_plof,sum_plof,avg_embeddedness,avg_internal_degree,cluster_size,conductance,cut_ratio,edges_inside,expansion,gene_ratio,hub_dominance,internal_edge_density,newman_girvan_modularity,normalized_cut,significance,surprise,triangle_participation_ratio
paris.cesna.2021:0,0.2470826506614685,0.5,1,1,0.5,0.5,3,1,3,0,0.7071067811865476,1,0.0049943574748322,1.3333333333333333,3,0.9993117687543016,0.0542357687135813,2,1936,0.6666666666666666,1,0.6666666666666666,-2.2062114429405945e-7,0.9997809286785444,27.980047707955315,6.487475813381013,0
paris.cesna.2021:4,0.3745202422142029,0.1891891891891892,0.1621621621621621,184,38.43243243243244,35,2,1,8,173,32.77917745268289,1422,0.0308695769209168,20.57894736842105,38,0.9798728540910612,0.0280942323841908,391,1001.8684210526316,0.9736842105263158,1,0.5561877667140825,-9.859276303089124e-6,0.9829403602563288,5360.580679878433,1198.6015270362016,1
paris.cesna.2021:5,0.22575373947620392,0.2222222222222222,0.1666666666666666,69,35.5,33,1,2,5,85,17.690974767810115,639,0.0281683525213092,13.473684210526317,19,0.98006851448147,0.018568562662261,128,662.5263157894736,0.9473684210526316,1,0.7485380116959064,-1.077448486288155e-6,0.9810848148478,1816.500777427768,429.8222923933889,1
paris.cesna.2021:43,0.00689452001824975,0.25,0.75,188,59,52.5,4,2,12,24,50.76613044146658,944,0.0976834941659877,20.4375,32,0.9450189155107188,0.0098489149634115,327,351.28125,0.5,0.935483870967742,0.6592741935483871,1.0154742873726831e-6,0.9459265928330052,4568.756200627093,1057.117774391783,0.9375
paris.cesna.2021:44,0.005955671425908804,0.3333333333333333,0.8888888888888888,106,43.11111111111112,30,1,1,9,48,36.4775425585539,388,0.0527889789662826,12.88888888888889,18,0.9733639494833524,0.0132003026820997,116,471,0.5,1,0.7581699346405228,-4.954869624714723e-7,0.9740486522005836,1648.959648519282,390.9903526558567,1
paris.cesna.2021:49,0.006780808791518211,0.1111111111111111,0.5,14,4.5,4,3,1,12,0,4.475423082201937,81,0.0908957417566841,22.526315789473685,38,0.9584405495946012,0.0145677350607105,428,519.5,0.4736842105263157,0.8648648648648649,0.6088193456614509,1.431646316756642e-6,0.960033509295327,5925.873209891264,1350.0774240241217,0.9736842105263158
paris.cesna.2021:50,0.0057469322346150875,0.2857142857142857,0.5714285714285714,23,3.7857142857142856,2,1,1,6,0,6.002288940685255,53,0.0737948611186113,19.142857142857142,28,0.9737190487864672,0.0198830983151579,268,709.25,0.5,1,0.708994708994709,-2.71671037221766e-6,0.9753214736210102,3777.2524258320495,885.591848222173,1
paris.cesna.2021:70,0.005909435451030731,0.3,0.7,113,55.1,54,1,1,7,23,37.17660554703724,551,0.1261257847544959,15.77777777777778,27,0.9439473684210526,0.0074485227546452,213,265.7037037037037,0.3703703703703703,1,0.6068376068376068,-3.772446645033981e-7,0.94452682721268,2948.0216432615507,671.1973775962417,1
paris.cesna.2021:71,0.006041296757757664,0.625,1,188,72.375,66,1,1,12,43,61.050184274906165,579,0.0946641089691186,12,22,0.962339514978602,0.0085947911437722,132,306.6363636363636,0.3636363636363636,1,0.5714285714285714,4.872151417028859e-7,0.9628844150339484,1814.9611925293448,408.1472713225638,1
paris.cesna.2021:100,0.02456342615187168,0.3571428571428571,0.2142857142857142,79,24.714285714285715,19,1,1,8,47,21.13483661354681,346,0.0846710732863665,9.68421052631579,19,0.9865947836223226,0.0199758083549681,92,712.7368421052631,0.7368421052631579,0.9444444444444444,0.5380116959064327,-9.908090763395517e-8,0.987688015241468,1256.8876217298107,279.0192417582171,1
paris.cesna.2021:107,0.3803618252277374,0.1,0.1,68,38.9,36.5,12,2,3,0,23.7835143651134,389,0.0219193095453393,4.727272727272728,11,0.988729952319029,0.011620916631004,26,414.7272727272728,0.9090909090909092,1,0.4727272727272727,-1.3904363146873585e-7,0.989098501099635,350.52344180953014,75.55452776602463,1
paris.cesna.2021:112,0.18829035758972168,0.0833333333333333,0.1944444444444444,65,22.166666666666668,16.5,2,1,15,58,20.023557554611944,798,0.0201298290940193,14.15,40,0.9854258935008756,0.0268305336661151,283,956.75,0.9,0.6666666666666666,0.3628205128205128,-9.85065040397918e-6,0.9885093306494366,3718.4585876872,749.2636012542849,0.925
paris.cesna.2021:113,0.0058678691275417805,0.1111111111111111,0.4444444444444444,62,22.25925925925926,18,4,1,8,23,17.06682024503549,601,0.1104193123782741,13.517241379310343,58,0.9696347650954724,0.0121107132525597,392,431.63793103448273,0.4655172413793103,1,0.2371445856019358,-3.2224373850823043e-6,0.9716540389779734,4952.9025981448185,876.7182640862292,1
paris.cesna.2021:178,0.2322145402431488,0.5777777777777777,0.0666666666666666,71,31.11111111111111,32,1,1,13,123,19.325233412940875,1400,0.0412651259593684,33.75,48,0.9628661807179204,0.0245469972791787,810,875.125,0.9375,0.9787234042553192,0.7180851063829787,-1.2268813783423655e-5,0.9662498984672384,11434.402873048606,2686.815760518785,1
paris.cesna.2021:205,0.19456647336483002,0.25,0.25,19,12.5,14.5,7,4,5,0,7.416198487095663,50,0.006292415647197,2.8,5,0.9958196476560168,0.0186866139967501,7,667,0.8,1,0.7,-7.325313513472779e-8,0.9960890970767248,98.50492256275793,23.04284444123469,1
