clusterID	estimated_snowballing_pvalue	rank
paris.cesna.2020:28	0.011725018732249737	215
paris.cesna.2020:29	0.017726482823491096	564
paris.cesna.2020:53	0.046912986785173416	1690
paris.cesna.2020:83	0.058184683322906494	1923
paris.cesna.2020:84	0.01199288945645094	235
paris.cesna.2020:101	0.07531986385583878	2142
paris.cesna.2020:102	0.03489084914326668	1366
paris.cesna.2020:105	0.024970954284071922	947
paris.cesna.2020:106	0.018078885972499847	581
paris.cesna.2020:117	0.03142427280545235	1239
paris.cesna.2020:118	0.14353933930397034	2566
paris.cesna.2020:173	0.04824981093406677	1718
paris.cesna.2020:177	0.022456303238868713	831
paris.cesna.2020:192	0.01602066680788994	474
paris.cesna.2020:193	0.0609186626970768	1963
paris.cesna.2020:207	0.017888838425278664	570
paris.cesna.2020:215	0.02239910326898098	824
paris.cesna.2020:222	0.01604614593088627	475
paris.cesna.2020:286	0.06823776662349701	2056
paris.cesna.2020:287	0.018928632140159607	637
paris.cesna.2020:290	0.040961239486932755	1552
paris.cesna.2020:291	0.015770137310028076	455
paris.cesna.2020:326	0.07624689489603043	2156
paris.cesna.2020:356	0.07138832658529282	2096
paris.cesna.2020:357	0.03934768587350845	1514
paris.cesna.2020:383	0.02324509061872959	865
paris.cesna.2020:384	0.05103171616792679	1778
paris.cesna.2020:387	0.0729525163769722	2115
paris.cesna.2020:388	0.03528684005141258	1381
paris.cesna.2020:397	0.061417993158102036	1970
paris.cesna.2020:399	0.07206890732049942	2105
paris.cesna.2020:400	0.11695064604282379	2458
paris.cesna.2020:436	0.02009572647511959	706
paris.cesna.2020:442	0.09212043881416321	2300
paris.cesna.2020:499	0.08694920688867569	2268
paris.cesna.2020:507	0.008799992501735687	60
paris.cesna.2020:508	0.009521388448774815	95
paris.cesna.2020:547	0.016676388680934906	512
paris.cesna.2020:573	0.02900204062461853	1128
paris.cesna.2020:574	0.03404175117611885	1339
paris.cesna.2020:593	0.018041953444480896	578
paris.cesna.2020:594	0.24380464851856232	2835
paris.cesna.2020:597	0.03501202166080475	1371
paris.cesna.2020:603	0.01908191666007042	646
paris.cesna.2020:637	0.037363797426223755	1445
paris.cesna.2020:638	0.05644096061587334	1895
paris.cesna.2020:649	0.058314163237810135	1925
paris.cesna.2020:661	0.00946030393242836	91
paris.cesna.2020:662	0.01843157969415188	609
paris.cesna.2020:671	0.153923898935318	2598
paris.cesna.2020:681	0.022848811000585556	848
paris.cesna.2020:689	0.018665596842765808	621
paris.cesna.2020:708	0.014476241543889046	375
paris.cesna.2020:709	0.038865458220243454	1498
paris.cesna.2020:720	0.04109591618180275	1555
paris.cesna.2020:721	0.030756836757063866	1198
paris.cesna.2020:722	0.04181474447250366	1566
paris.cesna.2020:729	0.2225908786058426	2796
paris.cesna.2020:769	0.04331563040614128	1601
paris.cesna.2020:773	0.01495763473212719	408
paris.cesna.2020:775	0.04552231729030609	1660
paris.cesna.2020:776	0.018192090094089508	589
paris.cesna.2020:783	0.06393105536699295	1996
paris.cesna.2020:806	0.09658560156822205	2330
paris.cesna.2020:870	0.11365805566310883	2441
paris.cesna.2020:1011	0.017655162140727043	560
paris.cesna.2020:1021	0.055231973528862	1875
paris.cesna.2020:1022	0.06456880271434784	2007
paris.cesna.2020:1041	0.01715509220957756	541
paris.cesna.2020:1042	0.03855658322572708	1489
paris.cesna.2020:1069	0.06690958142280579	2044
paris.cesna.2020:1070	0.014803276397287846	396
paris.cesna.2020:1121	0.10272921621799469	2374
paris.cesna.2020:1122	0.015440433286130428	445
paris.cesna.2020:1129	0.070777997374534607	2087
paris.cesna.2020:1146	0.02824893407523632	1096
paris.cesna.2020:1149	0.05167059972882271	1793
paris.cesna.2020:1150	0.00897473469376564	71
paris.cesna.2020:1157	0.023436779156327248	873
paris.cesna.2020:1158	0.025874190032482147	994
paris.cesna.2020:1159	0.029322339221835136	1141
paris.cesna.2020:1175	0.0441121906042099	1621
paris.cesna.2020:1176	0.011427180841565132	193
paris.cesna.2020:1198	0.10227031260728836	2372
paris.cesna.2020:1201	0.04205750674009323	1572
paris.cesna.2020:1256	0.05301640182733536	1828
paris.cesna.2020:1257	0.036294419318437576	1412
paris.cesna.2020:1284	0.0886392593383789	2279
paris.cesna.2020:1318	0.09097138792276382	2294
paris.cesna.2020:1319	0.0889102891087532	2283
paris.cesna.2020:1337	0.13531607389450073	2539
paris.cesna.2020:1341	0.08471645414829254	2246
paris.cesna.2020:1342	0.020856786519289017	741
paris.cesna.2020:1361	0.012208759784698486	243
paris.cesna.2020:1362	0.05275136977434158	1821
paris.cesna.2020:1368	0.028346339240670204	1099
paris.cesna.2020:1437	0.08074674010276794	2202
paris.cesna.2020:1438	0.02157958224415779	783
paris.cesna.2020:1482	0.0494312159717083	1732
paris.cesna.2020:1492	0.009838993661105633	111
paris.cesna.2020:1504	0.02435438521206379	920
paris.cesna.2020:1507	0.044203151017427444	1624
paris.cesna.2020:1508	0.017911463975906372	571
paris.cesna.2020:1519	0.09023858606815338	2291
paris.cesna.2020:1533	0.0655965507030487	2022
paris.cesna.2020:1534	0.00986501481384039	112
paris.cesna.2020:1563	0.09947367757558823	2353
paris.cesna.2020:1568	0.1431482583284378	2565
paris.cesna.2020:1585	0.030995946377515793	1216
paris.cesna.2020:1592	0.04464460164308548	1634
paris.cesna.2020:1593	0.0282736886292696	1097
paris.cesna.2020:1598	0.20483314990997314	2751
paris.cesna.2020:1633	0.06408164650201797	1999
paris.cesna.2020:1651	0.16965408623218536	2650
paris.cesna.2020:1679	0.09042184054851532	2292
paris.cesna.2020:1682	0.07955826818943024	2189
paris.cesna.2020:1688	0.111098513007164	2429
paris.cesna.2020:1721	0.015388264320790768	441
paris.cesna.2020:1722	0.038294825702905655	1480
paris.cesna.2020:1725	0.039634764194488525	1519
paris.cesna.2020:1726	0.013520930893719196	314
paris.cesna.2020:1750	0.035507407039403915	1390
paris.cesna.2020:1758	0.03208201378583908	1265
paris.cesna.2020:1786	0.09554953128099442	2322
paris.cesna.2020:1802	0.026184193789958954	1011
paris.cesna.2020:1813	0.0656973123550415	2023
