tree_depth	nrounds	eta	gamma	subsample	rate_drop	skip_drop	iter	train_rmse_mean	train_rmse_std	test_rmse_mean	test_rmse_std	best_iter
13	1579	0.02136709432888039	0.00327609677377253	0.6699638404417783	0.7849358960520476	0.9804870001971722	317	0.042285	0.001112	0.095107	0.006529	267
14	1573	0.00330038022680413	5.3350671902970695e-8	0.4593169944593683	0.661327107809484	0.7847683380823582	1573	0.062250278485183	0.001634103764305	0.09593428209061952	0.00618834526955732	1573
9	1789	0.06513917118117624	5.636566631994432e-7	0.714671359420754	0.9046288174577056	0.21962729981169105	390	0.0432455840608244	0.00220256176116158	0.09595779801467992	0.00668056882859884	390
12	1443	0.04349408208667205	1.7268229103979316e-5	0.38094875251408666	0.11070545972324908	0.8645050679333508	167	0.05579527547806286	0.00136373124710627	0.0963620459062932	0.00646079951952386	167
11	885	0.02019208142444202	4.192387561007441e-6	0.8507308580912649	0.6789835318922997	0.5549980255309492	527	0.03484677377703994	0.00106363102856184	0.09649332928397228	0.00622593215907975	527
4	543	0.08375787881749094	9.831952572368029e-8	0.565049155196175	0.45134100201539695	0.7089421930722892	152	0.07257226851825808	0.00131526348578437	0.09665041843713972	0.00634361673698932	152
9	1897	0.08206387291702984	1.21806620550173e-8	0.9656128715490924	0.13390392693690956	0.6064835384022444	127	0.03114783370707145	8.477686294018541e-4	0.096946491884908	0.00711025472201513	127
14	1927	0.00909177549488994	1.2649367449523503e-6	0.32406107387505473	0.4842216589022428	0.19289236469194293	1926	0.07419679094264726	0.00130538355057058	0.0976025320688947	0.00586795950171994	1926
5	1779	0.00211751432208548	0.06737510839349191	0.4014582796720788	0.6791851790621877	0.8170909532345831	1779	0.08614826312370454	0.00130388585425266	0.10051028866764868	0.00587541330558409	1779
6	1805	0.00275662973582645	7.02791770578764e-5	0.113162231631577	0.122957767220214	0.7881762967444956	1805	0.0914876128076291	0.00165255087595154	0.10052090811121034	0.00576446289876947	1805
5	197	0.02811843918667802	4.977419282532597e-9	0.7943152754800394	0.04574514948762953	0.25206154165789485	197	0.08300232386212733	0.00207187907326004	0.10069143892475756	0.00566906973213395	197
2	1038	0.06860957057129802	1.9021454511651424e-8	0.6415051285875961	0.3616200545802712	0.12269027018919589	1038	0.09684504921406778	0.00169433920727834	0.10409107142259534	0.00573886239824774	1038
9	1727	0.06072601397698926	9.610278157244588e-4	0.5773090097820387	0.3764161798171699	0.01426408300176262	1727	0.08205724059122885	0.00906733061783817	0.10584734222307388	0.0088254346525943	1727
3	393	0.07496635111577395	0.1428976250585322	0.17847912760917098	0.9860373951960356	0.09741603746078908	393	0.10201214581641968	0.0015054839414694	0.1070987705125029	0.00659235519008149	393
11	1568	0.08240627142602691	6.5099883830741305	0.829952919553034	0.25889520440250635	0.3495316579937935	235	0.10361373554198323	0.00231526340786579	0.1085476087173287	0.00554460558770358	235
14	421	0.00608372873964777	0.14829757238676755	0.789880080264993	0.43601293140091	0.77833551075309515	421	0.09213987592808896	0.00265606664774783	0.1127652863358528	0.00503289840130839	421
8	227	0.084471327976335	5.978274619678149	0.7618543848628179	0.2145315792877227	0.06178272608667612	227	0.11082388636266452	0.00292337684733904	0.11496038115046105	0.00425897097701881	227
